ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-L
0194230511;The Unquiet Grave: Short Stories (Oxford Bookworms, Level 4);M. R. James;2004;Oxford University Press;http://images.amazon.com/images/P/0194230511.01.LZZZZZZZ.jpg
0194230600;David Copperfield: Level 5 (Bookworms Series);Charles Dickens;2000;Oxford University Press;http://images.amazon.com/images/P/0194230600.01.LZZZZZZZ.jpg
0194230759;Wuthering Heights (Oxford Bookworms Library);Emily Bronte;2000;Oxford University Press;http://images.amazon.com/images/P/0194230759.01.LZZZZZZZ.jpg
0194242226;High Stakes (Alpha Books);Dick Francis;1979;Oxford Univ Pr;http://images.amazon.com/images/P/0194242226.01.LZZZZZZZ.jpg
0194242382;The World in Winter;John Christopher;1982;Oxford Univ Pr (Sd);http://images.amazon.com/images/P/0194242382.01.LZZZZZZZ.jpg
0194311856;Practical English Usage;Michael Swan;1981;Oxford University Press;http://images.amazon.com/images/P/0194311856.01.LZZZZZZZ.jpg
019431197X;Practical English Usage;Michael Swan;1995;Oxford University Press;http://images.amazon.com/images/P/019431197X.01.LZZZZZZZ.jpg
0194312070;Oxford English Picture Dictionary;E. C. Parnwell;1982;Oxford University Press;http://images.amazon.com/images/P/0194312070.01.LZZZZZZZ.jpg
0194312828;Oxford Learner's Pocket Dictionary;Not Applicable (Na );1991;Oxford Univ Pr;http://images.amazon.com/images/P/0194312828.01.LZZZZZZZ.jpg
0194312992;The Oxford Advanced Learner's Dictionary of Current English: Low-priced Edition;A. S. Hornby;1987;Oxford University Press;http://images.amazon.com/images/P/0194312992.01.LZZZZZZZ.jpg
019431362X;Grammar;Jennifer Seidl;1993;Oxford University Press;http://images.amazon.com/images/P/019431362X.01.LZZZZZZZ.jpg
0194314219;Oxford Advanced Learner's Dictionary of Current English;A. S. Hornby;1995;Oxford University Press;http://images.amazon.com/images/P/0194314219.01.LZZZZZZZ.jpg
019431510X;Oxford Advanced Learner's Dictionary: Of Current English;A. S. Hornby;2000;Oxford University Press;http://images.amazon.com/images/P/019431510X.01.LZZZZZZZ.jpg
0194315169;Oxford Wordpower Dictionary;Miranda Stell;2000;Oxford Univ Pr;http://images.amazon.com/images/P/0194315169.01.LZZZZZZZ.jpg
0194315193;THE GOOD GRAMMAR BOOK: The Good Grammar Book with Answers;Michael Swan;2003;Oxford University Press;http://images.amazon.com/images/P/0194315193.01.LZZZZZZZ.jpg
0194315835;Really Learn 100 Phrasal Verbs;Dilys Parkinson;2002;Oxford University Press;http://images.amazon.com/images/P/0194315835.01.LZZZZZZZ.jpg
0194315894;Oxford Learner's Pocket Dictionary;Alison Waters;2003;Oxford University Press;http://images.amazon.com/images/P/0194315894.01.LZZZZZZZ.jpg
0194335607;Headway (Headway);John Soars;1987;Oxford University Press;http://images.amazon.com/images/P/0194335607.01.LZZZZZZZ.jpg
0194337863;Start with English Readers;Rosemary Border;1988;Oxford University Press;http://images.amazon.com/images/P/0194337863.01.LZZZZZZZ.jpg
0194343553;The New Oxford Picture Dictionary: English/Spanish;E. C. Parnwell;1989;Oxford University Press;http://images.amazon.com/images/P/0194343553.01.LZZZZZZZ.jpg
019435802X;New Headway English Course;John Soars;1998;Oxford University Press;http://images.amazon.com/images/P/019435802X.01.LZZZZZZZ.jpg
0194366707;New Headway English Course;John and Liz Soars;2000;Oxford University Press;http://images.amazon.com/images/P/0194366707.01.LZZZZZZZ.jpg
0194371417;Writing: Language Teaching : A Scheme for Teacher Education (Language Teaching: A Scheme for Teacher Education);Christopher Tribble;1997;Oxford University Press;http://images.amazon.com/images/P/0194371417.01.LZZZZZZZ.jpg
0195002121;The Problems of Philosophy;Bertrand Russell, 3d Earl Russell;1959;Oxford University Press;http://images.amazon.com/images/P/0195002121.01.LZZZZZZZ.jpg
0195002237;Tibetan Book of the Dead;W. Y. Evans-Wentz;1974;Oxford University Press;http://images.amazon.com/images/P/0195002237.01.LZZZZZZZ.jpg
0195002245;Rome;Mikhail I. Rostovtzeff;1968;Oxford University Press;http://images.amazon.com/images/P/0195002245.01.LZZZZZZZ.jpg
0195002288;Religion and Science;Bertrand Russell;1961;Oxford University Press;http://images.amazon.com/images/P/0195002288.01.LZZZZZZZ.jpg
0195002628;Sources and Documents Illustrating the American Revolution, 1764-1788 and the Formation of the Federal Constitution (Galaxy Books);Samuel Eliot Morison;1965;Oxford University Press;http://images.amazon.com/images/P/0195002628.01.LZZZZZZZ.jpg
0195002679;Egypt of the Pharaohs: An Introduction (Galaxy Books);Alan Gardiner;1966;Oxford University Press;http://images.amazon.com/images/P/0195002679.01.LZZZZZZZ.jpg
0195002784;Tibetan Yoga and Secret Doctrines: Or Seven Books of Wisdom of the Great Path;Walter Yeeling Evans Wentz;1968;Oxford University Press;http://images.amazon.com/images/P/0195002784.01.LZZZZZZZ.jpg
0195002989;Modern Capitalism: The Changing Balance of Public and Private Power;Andrew Shonfield;1969;Oxford Univ Pr (Sd);http://images.amazon.com/images/P/0195002989.01.LZZZZZZZ.jpg
0195003225;The Nuer: A Description of the Modes of Livelihood and Political Institutions of a Nilotic People;E. E. Evans-Pritchard;1940;Oxford University Press;http://images.amazon.com/images/P/0195003225.01.LZZZZZZZ.jpg
0195003438;Allegory of Love;C. S. Lewis;1936;Oxford University Press;http://images.amazon.com/images/P/0195003438.01.LZZZZZZZ.jpg
0195003640;Republic of Plato;Plato;1951;Oxford University Press;http://images.amazon.com/images/P/0195003640.01.LZZZZZZZ.jpg
0195003683;Greece;Mikhail I. Rostovtzeff;1963;Oxford University Press;http://images.amazon.com/images/P/0195003683.01.LZZZZZZZ.jpg
0195003748;Three Tragedies: Antigone, Oedipus the King, Electra;Sophocles;1962;Oxford University Press;http://images.amazon.com/images/P/0195003748.01.LZZZZZZZ.jpg
0195004620;From Max Weber: Essays in Sociology;Max Weber;1958;Oxford University Press;http://images.amazon.com/images/P/0195004620.01.LZZZZZZZ.jpg
019500597X;Oxford Companion to American History;Paul S. Boyer;1966;Oxford University Press;http://images.amazon.com/images/P/019500597X.01.LZZZZZZZ.jpg
019500678X;Strange Career of Jim Crow;C Vann Woodward;2002;Oxford Univ Press;http://images.amazon.com/images/P/019500678X.01.LZZZZZZZ.jpg
0195006844;Interpretations of American Literature.;Charles, Ed. Feidelson;1959;Oxford University Press;http://images.amazon.com/images/P/0195006844.01.LZZZZZZZ.jpg
0195006992;Andrew Jackson: Symbol for an Age;John William, Ward;1955;Oxford University Press;http://images.amazon.com/images/P/0195006992.01.LZZZZZZZ.jpg
0195007514;The Sociological Imagination;Charles Wright Mills;1959;Oxford University Press;http://images.amazon.com/images/P/0195007514.01.LZZZZZZZ.jpg
0195007778;A Sand County Almanac and Sketches Here and There: With Other Essays on Conservation from Round River (Galaxy Books);Aldo Leopold;2000;Oxford University Press;http://images.amazon.com/images/P/0195007778.01.LZZZZZZZ.jpg
0195009215;The Lincoln-Douglas Debates of 1858;Abraham Lincoln;1965;Oxford University Press;http://images.amazon.com/images/P/0195009215.01.LZZZZZZZ.jpg
0195009428;Nada (Spanish Language Edition);C. Laforet;1958;Oxford University Press;http://images.amazon.com/images/P/0195009428.01.LZZZZZZZ.jpg
0195010434;Marcelino Pan Y Vino;J.M. Sanchez-Silva;1940;Oxford University Press;http://images.amazon.com/images/P/0195010434.01.LZZZZZZZ.jpg
0195012488;The Ancient Greeks;Chester G., Starr;1971;Oxford University Press;http://images.amazon.com/images/P/0195012488.01.LZZZZZZZ.jpg
0195012690;Story of Jazz (Galaxy Books);M.W. Stearns;1970;Oxford University Press;http://images.amazon.com/images/P/0195012690.01.LZZZZZZZ.jpg
0195012704;God of the Witches (Galaxy Books);Margaret Murray;1970;Oxford University Press;http://images.amazon.com/images/P/0195012704.01.LZZZZZZZ.jpg
0195013514;"Gentlemen of Property and Standing; Anti-Abolition Mobs in Jacksonian America";Leonard L. Richards;1971;Oxford Univ Pr (Sd);http://images.amazon.com/images/P/0195013514.01.LZZZZZZZ.jpg
0195014324;"Signs &amp; Symbols in Christian Art (Galaxy Books)";George Wells Ferguson;1989;Oxford University Press;http://images.amazon.com/images/P/0195014324.01.LZZZZZZZ.jpg
0195014391;Reading World Hist Vol 7 China India Japan;William H. McNeill;1985;Oxford University Press;http://images.amazon.com/images/P/0195014391.01.LZZZZZZZ.jpg
0195014766;The Art of War (UNESCO Collection of Representative Works);Samuel B. Griffith;1971;Oxford University Press;http://images.amazon.com/images/P/0195014766.01.LZZZZZZZ.jpg
0195015541;The Story of Rock;Carl Belz;1972;Oxford Univ Pr;http://images.amazon.com/images/P/0195015541.01.LZZZZZZZ.jpg
0195015622;"Terror and resistance;: A study of political violence with case studies of some primitive African communities (Terror and society)";E. V Walter;1972;Oxford University Press;http://images.amazon.com/images/P/0195015622.01.LZZZZZZZ.jpg
0195016149;Restoration and the Eighteenth Century (Oxford Anthology of English Literature);Martin Price;1973;Oxford University Press;http://images.amazon.com/images/P/0195016149.01.LZZZZZZZ.jpg
0195016165;Victorian Prose and Poetry (Oxford Anthology of English Literature);Lionel Trilling;1973;Oxford University Press;http://images.amazon.com/images/P/0195016165.01.LZZZZZZZ.jpg
0195016319;Modern Europe and America;William H. McNeill;1973;Oxford Univ Pr;http://images.amazon.com/images/P/0195016319.01.LZZZZZZZ.jpg
0195016378;Literature of Renaissance England (Anthology of English Literature Series);J. Hollander;1973;Oxford University Press;http://images.amazon.com/images/P/0195016378.01.LZZZZZZZ.jpg
0195016459;"American urban history;: An interpretive reader with commentaries";Alexander B Callow;1973;Oxford University Press;http://images.amazon.com/images/P/0195016459.01.LZZZZZZZ.jpg
0195016521;Modern British Literature (Oxford Anthology of English Literature);Frank Kermode;1973;Oxford University Press;http://images.amazon.com/images/P/0195016521.01.LZZZZZZZ.jpg
0195016572;The Oxford Anthology of English Literature: The Middle Ages Through the 18th Century (Middle Ages Through the Eighteenth Century);Frank Kermode;1973;Oxford University Press;http://images.amazon.com/images/P/0195016572.01.LZZZZZZZ.jpg
0195016653;Harlem Renaissance.;Nathan Irvin Huggins;1973;Oxford University Press;http://images.amazon.com/images/P/0195016653.01.LZZZZZZZ.jpg
0195016793;Writing Without Teachers;Peter. Elbow;1973;Oxford University Press;http://images.amazon.com/images/P/0195016793.01.LZZZZZZZ.jpg
0195017854;The American Woman: Her Changing Social, Economic and Political Roles, 1920-1970 (A Galaxy book, GB 406);William Henry Chafe;1974;Oxford Univ Pr (T);http://images.amazon.com/images/P/0195017854.01.LZZZZZZZ.jpg
0195018249;The Oregon Experiment (Center for Environmental Structure Series);Christopher Alexander;1975;Oxford University Press;http://images.amazon.com/images/P/0195018249.01.LZZZZZZZ.jpg
0195019059;"King Arthur and His Knights: Selected Tales (A Galaxy Book ; 434)";Thomas Malory;1976;Oxford University Press;http://images.amazon.com/images/P/0195019059.01.LZZZZZZZ.jpg
0195019199;A Pattern Language: Towns, Buildings, Construction (Center for Environmental Structure Series);Christopher Alexander;1977;Oxford University Press;http://images.amazon.com/images/P/0195019199.01.LZZZZZZZ.jpg
0195021827;Tom Paine and Revolutionary America;Eric Foner;1977;Oxford University Press;http://images.amazon.com/images/P/0195021827.01.LZZZZZZZ.jpg
0195022459;This Species of Property: Slave Life and Culture in the Old South;Leslie Howard Owens;1976;Oxford University Press;http://images.amazon.com/images/P/0195022459.01.LZZZZZZZ.jpg
019502320X;Comedy High and Low;Maurice Charney;1992;Oxford University Press;http://images.amazon.com/images/P/019502320X.01.LZZZZZZZ.jpg
019502365X;Women and Equality: Changing Patterns in American Culture (Galaxy Book);William Henry Chafe;1978;Oxford University Press;http://images.amazon.com/images/P/019502365X.01.LZZZZZZZ.jpg
0195024028;The Timeless Way of Building;Christopher Alexander;1979;Oxford University Press;http://images.amazon.com/images/P/0195024028.01.LZZZZZZZ.jpg
0195024176;The Populist Moment: A Short History of the Agrarian Revolt in America;Lawrence Goodwyn;1978;Oxford University Press;http://images.amazon.com/images/P/0195024176.01.LZZZZZZZ.jpg
0195024354;Beowulf: The Oldest English Epic (Galaxy Book);Charles W. Kennedy;1978;Oxford University Press;http://images.amazon.com/images/P/0195024354.01.LZZZZZZZ.jpg
0195024443;Basic Writings in the History of Psychology;Robert Watson;1979;Oxford University Press;http://images.amazon.com/images/P/0195024443.01.LZZZZZZZ.jpg
0195024982;"Film Theory &amp; Criticism Intro Readings 2/E";Mast;1996;Oxford University Press;http://images.amazon.com/images/P/0195024982.01.LZZZZZZZ.jpg
0195025415;Fantastic Worlds: Myths, Tales, and Stories (Galaxy Books);Eric S. Rabkin;1979;Oxford University Press;http://images.amazon.com/images/P/0195025415.01.LZZZZZZZ.jpg
0195025636;The Slave Community: Plantation Life in the Antebellum South;John W. Blassingame;1979;Oxford University Press;http://images.amazon.com/images/P/0195025636.01.LZZZZZZZ.jpg
0195026454;Shakespeare: The Globe and the World;Samuel Schoenbaum;1979;Oxford Univ Pr;http://images.amazon.com/images/P/0195026454.01.LZZZZZZZ.jpg
0195027019;Major American Short Stories Rev Ed;Litz;1993;Oxford University Press;http://images.amazon.com/images/P/0195027019.01.LZZZZZZZ.jpg
0195027035;The Survivor: An Anatomy of Life in the Death Camps;Terrence. Des Pres;1980;Oxford University Press;http://images.amazon.com/images/P/0195027035.01.LZZZZZZZ.jpg
0195027426;101 Word Games for Students of English As a Second or Foreign Language (Resource Books for Teachers of Young Students);George P. McCallum;1980;Oxford University Press;http://images.amazon.com/images/P/0195027426.01.LZZZZZZZ.jpg
0195027930;Man Eating Myth: Anthropology and Anthropophagy (Galaxy Books);W. Arens;1980;Oxford University Press;http://images.amazon.com/images/P/0195027930.01.LZZZZZZZ.jpg
0195027957;Oxford American Dictionary.;Eugene H. Ehrlich;1980;Oxford University Press;http://images.amazon.com/images/P/0195027957.01.LZZZZZZZ.jpg
0195028066;How to Read a Film: The Art, Technology, Language, History, and Theory of Film and Media;James Monaco;1981;Oxford University Press;http://images.amazon.com/images/P/0195028066.01.LZZZZZZZ.jpg
0195028325;The Tools of Empire: Technology and European Imperialism in the Nineteenth Century;Daniel R. Headrick;1981;Oxford University Press;http://images.amazon.com/images/P/0195028325.01.LZZZZZZZ.jpg
0195029046;The European and the Indian: Essays in the Ethnohistory of Colonial North America;James Axtell;1982;Oxford University Press;http://images.amazon.com/images/P/0195029046.01.LZZZZZZZ.jpg
0195029100;Long Memory: The Black Experience in America;Mary Frances Berry;1983;Oxford University Press;http://images.amazon.com/images/P/0195029100.01.LZZZZZZZ.jpg
0195029135;Writing With Power: Techniques for Mastering the Writing Process;Peter Elbow;1981;Oxford University Press;http://images.amazon.com/images/P/0195029135.01.LZZZZZZZ.jpg
0195029151;Presidential Anecdotes;Paul F. Boller;1981;Oxford Univ Pr;http://images.amazon.com/images/P/0195029151.01.LZZZZZZZ.jpg
0195029194;Civilities and Civil Rights;William Chafe;1981;Oxford University Press;http://images.amazon.com/images/P/0195029194.01.LZZZZZZZ.jpg
0195029488;Biblical Ethics and Social Change;Stephen Mott;1982;Oxford University Press;http://images.amazon.com/images/P/0195029488.01.LZZZZZZZ.jpg
0195030109;Problems of a World Monetary Order;Gerald M. Meier;1982;Oxford Univ Pr;http://images.amazon.com/images/P/0195030109.01.LZZZZZZZ.jpg
0195030427;White Supremacy:  A Comparative Study in American and South African History;George M. Fredrickson;1982;Oxford University Press;http://images.amazon.com/images/P/0195030427.01.LZZZZZZZ.jpg
0195030680;Abroad;Paul Fussell;1982;Oxford University Press;http://images.amazon.com/images/P/0195030680.01.LZZZZZZZ.jpg
0195030699;Destinations: Essays from Rolling Stone (Galaxy Books);Jan Morris;1982;Oxford University Press;http://images.amazon.com/images/P/0195030699.01.LZZZZZZZ.jpg
0195030907;The Medieval World View: An Introduction;William Cook;1983;Oxford University Press;http://images.amazon.com/images/P/0195030907.01.LZZZZZZZ.jpg
0195031725;Descent from Glory: Four Generations of the John Adams Family;Paul C. Nagel;1982;Oxford University Press;http://images.amazon.com/images/P/0195031725.01.LZZZZZZZ.jpg
0195031822;A Concise History of the American Republic;Samuel Eliot Morison;1983;Oxford University Press;http://images.amazon.com/images/P/0195031822.01.LZZZZZZZ.jpg
0195031849;Children's Cognitive Development;Ruth Ault;1999;Oxford University Press;http://images.amazon.com/images/P/0195031849.01.LZZZZZZZ.jpg
0195031946;City People: The Rise of Modern City Culture in Nineteenth Century America;Gunther Barth;1982;Oxford University Press;http://images.amazon.com/images/P/0195031946.01.LZZZZZZZ.jpg
0195032128;Dust Bowl: The Southern Plains in the 1930s;Donald Worster;1982;Oxford University Press;http://images.amazon.com/images/P/0195032128.01.LZZZZZZZ.jpg
0195032136;Riding on a Blue Note: Jazz and American Pop;Gary Giddins;1983;Oxford Univ Pr (T);http://images.amazon.com/images/P/0195032136.01.LZZZZZZZ.jpg
0195032284;Women's Realities, Women's Choices: An Introduction to Women's Studies;Women's Studies Collective Hunter College;1983;Oxford University Press;http://images.amazon.com/images/P/0195032284.01.LZZZZZZZ.jpg
0195032721;Science Fiction: A Historical Anthology (Galaxy Books);Eric S. Rabkin;1983;Oxford University Press;http://images.amazon.com/images/P/0195032721.01.LZZZZZZZ.jpg
0195033019;Documentary: A History of the Non-Fiction Film;Erik Barnouw;1983;Oxford University Press;http://images.amazon.com/images/P/0195033019.01.LZZZZZZZ.jpg
0195033418;JFK: Ordeal in Africa;Richard D. Mahoney;1983;Oxford Univ Pr;http://images.amazon.com/images/P/0195033418.01.LZZZZZZZ.jpg
0195033604;Good Wives: Image and Reality in the Lives of Women in Northern New England, 1650-1750 (Oxford University Press Paperback);Laurel Ulrich;1983;Oxford University Press;http://images.amazon.com/images/P/0195033604.01.LZZZZZZZ.jpg
0195033787;Entertaining Satan: Witchcraft and the Culture of Early New England (Galaxy Books);John Putnam Demos;1983;Oxford University Press;http://images.amazon.com/images/P/0195033787.01.LZZZZZZZ.jpg
0195033817;James Joyce (Oxford Lives S.);Richard Ellmann;1983;Oxford University Press;http://images.amazon.com/images/P/0195033817.01.LZZZZZZZ.jpg
0195034147;Ty Cobb;Charles C. Alexander;1984;Oxford University Press;http://images.amazon.com/images/P/0195034147.01.LZZZZZZZ.jpg
019503452X;Journeys;Jan Morris;1984;American Philological Association;http://images.amazon.com/images/P/019503452X.01.LZZZZZZZ.jpg
0195035003;Dry Tears: The Story of a Lost Childhood (Gb772);Nechama Tec;1984;Oxford University Press;http://images.amazon.com/images/P/0195035003.01.LZZZZZZZ.jpg
0195035119;Private Mary Chesnut (Galaxy Book);Mary Boykin Miller Chesnut;1997;Oxford University Press;http://images.amazon.com/images/P/0195035119.01.LZZZZZZZ.jpg
0195035135;The Private Mary Chesnut: The Unpublished Civil War Diaries (Galaxy Book);Mary Boykin Miller Chesnut;1984;Oxford University Press;http://images.amazon.com/images/P/0195035135.01.LZZZZZZZ.jpg
0195035739;Film Theory and Criticism: Introductory Readings;Gerald Mast;1985;Oxford University Press;http://images.amazon.com/images/P/0195035739.01.LZZZZZZZ.jpg
0195035755;The Glorious Cause: The American Revolution, 1763-1789 (Oxford History of the United States);Robert Middlekauff;1985;Oxford University Press;http://images.amazon.com/images/P/0195035755.01.LZZZZZZZ.jpg
0195035828;Literary Women (Gb 785);Ellen Moers;1985;Oxford Univ Pr;http://images.amazon.com/images/P/0195035828.01.LZZZZZZZ.jpg
0195036328;Pocahontas's daughters: Gender and ethnicity in American culture;Mary V Dearborn;1986;Oxford University Press;http://images.amazon.com/images/P/0195036328.01.LZZZZZZZ.jpg
0195036492;The Ties That Bound: Peasant Families in Medieval England;Barbara A. Hanawalt;1986;Oxford University Press;http://images.amazon.com/images/P/0195036492.01.LZZZZZZZ.jpg
0195037227;Presidential Campaigns;Paul F., Jr. Boller;1985;Oxford University Press;http://images.amazon.com/images/P/0195037227.01.LZZZZZZZ.jpg
0195037286;Education of the Senses (The Bourgeois Experience : Victoria to Freud, Vol 1);Peter Gay;1985;Oxford University Press;http://images.amazon.com/images/P/0195037286.01.LZZZZZZZ.jpg
0195037537;A New Theory of Urban Design (Center for Environmental Structure Series, Vol 6);Christopher Alexander;1987;Oxford University Press;http://images.amazon.com/images/P/0195037537.01.LZZZZZZZ.jpg
0195038290;Mutiny on the Amistad;Howard Jones;1997;Oxford University Press;http://images.amazon.com/images/P/0195038290.01.LZZZZZZZ.jpg
0195038347;Freedom from Fear : The American People in Depression and War, 1929-1945 (Oxford History of the United States, Vol 9);David M. Kennedy;1999;Oxford University Press;http://images.amazon.com/images/P/0195038347.01.LZZZZZZZ.jpg
019503838X;African Slavery in Latin America and the Caribbean;Herbert S. Klein;1988;Oxford University Press;http://images.amazon.com/images/P/019503838X.01.LZZZZZZZ.jpg
0195038630;Battle Cry of Freedom: The Civil War Era (Oxford History of the United States);James M. McPherson;1988;Oxford University Press;http://images.amazon.com/images/P/0195038630.01.LZZZZZZZ.jpg
0195038703;Manhattan '45;Jan Morris;1987;Oxford University Press;http://images.amazon.com/images/P/0195038703.01.LZZZZZZZ.jpg
0195040740;Sambo;Joseph Boskin;1995;Oxford University Press;http://images.amazon.com/images/P/0195040740.01.LZZZZZZZ.jpg
019504083X;General Managers in Action;Francis Joseph Aguilar;1997;Oxford University Press;http://images.amazon.com/images/P/019504083X.01.LZZZZZZZ.jpg
0195041321;Willa Cather: The Emerging Voice;Sharon O'Brien;1987;Oxford University Press;http://images.amazon.com/images/P/0195041321.01.LZZZZZZZ.jpg
0195041771;As the Romans Did: A Source Book in Roman Social History;Joanne R. Shelton;1988;Oxford University Press;http://images.amazon.com/images/P/0195041771.01.LZZZZZZZ.jpg
0195042131;Ghosts of the Confederacy: Defeat, the Lost Cause, and the Emergence of the New South, 1865 to 1913;Gaines M. Foster;1987;Oxford University Press;http://images.amazon.com/images/P/0195042131.01.LZZZZZZZ.jpg
0195042212;Matter of Wales: Epic Views of a Small Country;Jan Morris;1986;Oxford University Press;http://images.amazon.com/images/P/0195042212.01.LZZZZZZZ.jpg
0195042220;The Great Explorers: The European Discovery of America;Samuel Eliot Morison;1986;Oxford University Press;http://images.amazon.com/images/P/0195042220.01.LZZZZZZZ.jpg
0195042239;Prince Among Slaves (Oxford Paperbacks);Terry Alford;1986;Oxford University Press;http://images.amazon.com/images/P/0195042239.01.LZZZZZZZ.jpg
0195042255;Immodest Acts: The Life of a Lesbian Nun in Renaissance Italy (Studies in the History of Sexuality);Judith C. Brown;1986;Oxford University Press;http://images.amazon.com/images/P/0195042255.01.LZZZZZZZ.jpg
019504231X;No Sense of Place: The Impact of Electronic Media on Social Behavior;Joshua Meyrowitz;1986;Oxford University Press;http://images.amazon.com/images/P/019504231X.01.LZZZZZZZ.jpg
0195042328;A Book of Love Poetry;Jon Stallworthy;1986;Oxford University Press;http://images.amazon.com/images/P/0195042328.01.LZZZZZZZ.jpg
0195042387;Charlotte Temple (Oxford Paperbacks);Rowson;1987;Oxford University Press;http://images.amazon.com/images/P/0195042387.01.LZZZZZZZ.jpg
0195042425;Honor and Violence in the Old South;Bertram Wyatt-Brown;1986;Oxford University Press;http://images.amazon.com/images/P/0195042425.01.LZZZZZZZ.jpg
0195042832;America by Design: Based on the Pbs Series by Guggenheim Productions, Inc.;Spiro Kostof;1987;Oxford Univ Pr;http://images.amazon.com/images/P/0195042832.01.LZZZZZZZ.jpg
019504360X;Nightmare in Red: The McCarthy Era in Perspective;Richard M. Fried;1990;Oxford University Press;http://images.amazon.com/images/P/019504360X.01.LZZZZZZZ.jpg
0195044509;Magika Hiera: Ancient Greek Magic and Religion;Christopher A. Faraone;1991;Oxford University Press;http://images.amazon.com/images/P/0195044509.01.LZZZZZZZ.jpg
019504522X;The Holocaust: The Fate of European Jewry, 1932-1945 (Studies in Jewish History);Leny Yahil;1990;American Philological Association;http://images.amazon.com/images/P/019504522X.01.LZZZZZZZ.jpg
0195045394;In Defense of American Liberties: A History of the Aclu;Samuel Walker;1990;Oxford Univ Pr;http://images.amazon.com/images/P/0195045394.01.LZZZZZZZ.jpg
0195045645;The Ties That Bound: Peasant Families in Medieval England;Barbara A. Hanawalt;1989;Oxford University Press;http://images.amazon.com/images/P/0195045645.01.LZZZZZZZ.jpg
019504620X;Broadway Anecdotes;Peter Hay;1990;Oxford Univ Pr (T);http://images.amazon.com/images/P/019504620X.01.LZZZZZZZ.jpg
0195046455;The Oxford Companion to the Bible;Bruce M. Metzger;1993;Oxford University Press;http://images.amazon.com/images/P/0195046455.01.LZZZZZZZ.jpg
0195046579;Intended Consequences: Birth Control, Abortion, and the Federal Government in Modern America;Donald T. Critchlow;1999;Oxford University Press;http://images.amazon.com/images/P/0195046579.01.LZZZZZZZ.jpg
0195046714;The Nature of Mind;David M. Rosenthal;1991;Oxford University Press;http://images.amazon.com/images/P/0195046714.01.LZZZZZZZ.jpg
0195049020;Essays on the Making of the Constitution;Leonard W. Levy;1987;Oxford University Press;http://images.amazon.com/images/P/0195049020.01.LZZZZZZZ.jpg
0195049446;A Guide to Library Research Methods;Thomas Mann;1990;Oxford University Press;http://images.amazon.com/images/P/0195049446.01.LZZZZZZZ.jpg
0195049527;The Hyperactive Child, Adolescent, and Adult: Attention Deficit Disorder Through the Lifespan;Paul H., M.D. Wender;1987;Oxford University Press;http://images.amazon.com/images/P/0195049527.01.LZZZZZZZ.jpg
0195049837;Crabgrass Frontier: The Suburbanization of the United States;Kenneth T. Jackson;1987;Oxford University Press;http://images.amazon.com/images/P/0195049837.01.LZZZZZZZ.jpg
0195050266;Ethical Issues in Professional Life;Joan Callahan;1988;Oxford University Press;http://images.amazon.com/images/P/0195050266.01.LZZZZZZZ.jpg
0195050479;The Invention of Ethnicity;Werner Sollors;1991;Oxford University Press;http://images.amazon.com/images/P/0195050479.01.LZZZZZZZ.jpg
0195050673;Dreadful Pleasures: An Anatomy of Modern Horror;James B. Twitchell;1987;Oxford University Press;http://images.amazon.com/images/P/0195050673.01.LZZZZZZZ.jpg
0195051270;The Magazine in America, 1741-1990;John Tebbel;1991;Oxford Univ Pr;http://images.amazon.com/images/P/0195051270.01.LZZZZZZZ.jpg
0195051858;The Creation of Patriarchy;Gerda Lerner;1987;Oxford University Press;http://images.amazon.com/images/P/0195051858.01.LZZZZZZZ.jpg
0195051912;The Whiskey Rebellion: Frontier Epilogue to the American Revolution;Thomas Slaughter;1988;Oxford University Press;http://images.amazon.com/images/P/0195051912.01.LZZZZZZZ.jpg
0195052099;Journals 1939-1983;Stephen Spender;1987;Granite Impex Ltd;http://images.amazon.com/images/P/0195052099.01.LZZZZZZZ.jpg
0195052145;Seven Theories of Human Nature;Leslie Forster Stevenson;1987;Oxford University Press;http://images.amazon.com/images/P/0195052145.01.LZZZZZZZ.jpg
0195052161;What Does It All Mean?: A Very Short Introduction to Philosophy;Thomas Nagel;1987;Oxford University Press;http://images.amazon.com/images/P/0195052161.01.LZZZZZZZ.jpg
0195052609;Collected Black Women's Narratives (Schomburg Library of Nineteenth-Century Black Women Writers);Louisa Picquet;1995;Oxford University Press;http://images.amazon.com/images/P/0195052609.01.LZZZZZZZ.jpg
0195052765;Southern Daughter: The Life of Margaret Mitchell;Darden Asbury Pyron;1991;American Philological Association;http://images.amazon.com/images/P/0195052765.01.LZZZZZZZ.jpg
0195053052;A Sand County Almanac and Sketches Here and There;Aldo Leopold;1987;Oxford University Press;http://images.amazon.com/images/P/0195053052.01.LZZZZZZZ.jpg
0195053508;Sacred Places: American Tourist Attractions in the Nineteenth Century;John F. Sears;1989;Oxford Univ Pr;http://images.amazon.com/images/P/0195053508.01.LZZZZZZZ.jpg
0195053869;Tears Before the Rain: An Oral History of the Fall of South Vietnam;Larry Engelmann;1990;Oxford University Press;http://images.amazon.com/images/P/0195053869.01.LZZZZZZZ.jpg
0195054938;Oedipus the King (Greek Tragedy in New Translations);Sophocles;1988;Oxford University Press;http://images.amazon.com/images/P/0195054938.01.LZZZZZZZ.jpg
